"","he","nGen","genB","optMethod","n_optResultEvaluation","n_repeted_opt"
"1","0.3",5,200,"bayesOpt","1",1023
"2","0.3",5,200,"randOpt","1",1023
"3","0.3",5,600,"bayesOpt","1",1024
"4","0.3",5,600,"randOpt","1",1024
"5","0.3",10,200,"bayesOpt","1",1020
"6","0.3",10,200,"randOpt","1",1020
"7","0.3",10,600,"bayesOpt","1",1024
"8","0.3",10,600,"randOpt","1",1024
"9","0.7",5,200,"bayesOpt","1",1020
"10","0.7",5,200,"randOpt","1",1020
"11","0.7",5,600,"bayesOpt","1",1024
"12","0.7",5,600,"randOpt","1",1024
"13","0.7",10,200,"bayesOpt","1",1017
"14","0.7",10,200,"randOpt","1",1017
"15","0.7",10,600,"bayesOpt","1",1024
"16","0.7",10,600,"randOpt","1",1024
