"","he","nGen","genB","optMethod","n_optResultEvaluation","n_repeted_opt"
"1","0.3",5,200,"bayesOpt","32",16
"2","0.3",5,200,"randOpt","32",16
"3","0.3",5,600,"bayesOpt","32",16
"4","0.3",5,600,"randOpt","32",16
"5","0.3",10,200,"bayesOpt","32",16
"6","0.3",10,200,"randOpt","32",16
"7","0.3",10,600,"bayesOpt","32",16
"8","0.3",10,600,"randOpt","32",16
"9","0.7",5,200,"bayesOpt","32",16
"10","0.7",5,200,"randOpt","32",16
"11","0.7",5,600,"bayesOpt","32",16
"12","0.7",5,600,"randOpt","32",16
"13","0.7",10,200,"bayesOpt","32",16
"14","0.7",10,200,"randOpt","32",16
"15","0.7",10,600,"bayesOpt","32",16
"16","0.7",10,600,"randOpt","32",16
