"name","BO","rand","repBO","repRand"
nGen-10_plotBudjetPerGen-200_he-0.7,58924,837122,542870,354094
nGen-10_plotBudjetPerGen-200_he-0.7,69641,544596,715579,849751
nGen-10_plotBudjetPerGen-200_he-0.7,994767,670542,468535,967219
nGen-10_plotBudjetPerGen-200_he-0.7,1549,989676,951358,293923
nGen-10_plotBudjetPerGen-200_he-0.7,194371,804408,219504,673804
nGen-10_plotBudjetPerGen-200_he-0.7,72272,943950,783673,439853
nGen-10_plotBudjetPerGen-200_he-0.7,574732,129734,545352,571148
nGen-10_plotBudjetPerGen-200_he-0.7,297591,691315,608386,553802
nGen-10_plotBudjetPerGen-200_he-0.7,251900,988191,715451,344091
nGen-10_plotBudjetPerGen-200_he-0.7,410283,522814,755273,44765
nGen-10_plotBudjetPerGen-200_he-0.7,525922,136499,118433,380066
nGen-10_plotBudjetPerGen-200_he-0.7,419716,538038,936876,158407
nGen-10_plotBudjetPerGen-200_he-0.7,936756,655813,763017,547869
nGen-10_plotBudjetPerGen-200_he-0.7,508438,92838,214475,186023
nGen-10_plotBudjetPerGen-200_he-0.7,877569,277477,879093,636411
nGen-10_plotBudjetPerGen-200_he-0.7,242509,54098,218201,46068
nGen-10_plotBudjetPerGen-200_he-0.7,457792,950484,399117,29043
nGen-10_plotBudjetPerGen-200_he-0.7,316683,453583,436894,947049
nGen-10_plotBudjetPerGen-200_he-0.7,441687,764586,392687,794051
nGen-10_plotBudjetPerGen-200_he-0.7,517264,927683,120145,365827
nGen-10_plotBudjetPerGen-200_he-0.7,981611,439244,142590,214197
nGen-10_plotBudjetPerGen-200_he-0.7,36190,144243,419812,133262
nGen-10_plotBudjetPerGen-200_he-0.7,289041,70795,801304,665909
nGen-10_plotBudjetPerGen-200_he-0.7,722237,446030,329880,193835
nGen-10_plotBudjetPerGen-200_he-0.7,576081,365071,861300,529981
nGen-10_plotBudjetPerGen-200_he-0.7,131724,761959,328290,376907
nGen-10_plotBudjetPerGen-200_he-0.7,878089,368342,92536,757676
nGen-10_plotBudjetPerGen-200_he-0.7,270611,418785,598432,971875
nGen-10_plotBudjetPerGen-200_he-0.7,45034,746464,258615,892911
nGen-10_plotBudjetPerGen-200_he-0.7,592353,429291,982160,763373
nGen-10_plotBudjetPerGen-200_he-0.7,988522,261267,960388,196900
nGen-10_plotBudjetPerGen-200_he-0.7,833194,726234,161221,665985
nGen-10_plotBudjetPerGen-200_he-0.7,132404,375194,910507,416246
nGen-10_plotBudjetPerGen-200_he-0.7,119126,181010,828928,844684
nGen-10_plotBudjetPerGen-200_he-0.7,277997,943969,139724,774885
nGen-10_plotBudjetPerGen-200_he-0.7,515789,885461,439828,195187
nGen-10_plotBudjetPerGen-200_he-0.7,567045,256114,273592,275687
nGen-10_plotBudjetPerGen-200_he-0.7,88205,381435,350465,529273
nGen-10_plotBudjetPerGen-200_he-0.7,534818,289929,634931,708738
nGen-10_plotBudjetPerGen-200_he-0.7,990585,635282,467347,716381
nGen-10_plotBudjetPerGen-200_he-0.7,527309,897835,979007,628638
nGen-10_plotBudjetPerGen-200_he-0.7,394198,430223,634841,639889
nGen-10_plotBudjetPerGen-200_he-0.7,584435,555436,204992,178628
nGen-10_plotBudjetPerGen-200_he-0.7,240611,52700,36723,614688
nGen-10_plotBudjetPerGen-200_he-0.7,888191,695316,723192,56019
nGen-10_plotBudjetPerGen-200_he-0.7,592541,443235,258069,17772
nGen-10_plotBudjetPerGen-200_he-0.7,747215,354530,563743,992734
nGen-10_plotBudjetPerGen-200_he-0.7,207953,550452,333220,415035
nGen-10_plotBudjetPerGen-200_he-0.7,490544,118698,654654,789554
nGen-10_plotBudjetPerGen-200_he-0.7,213216,676127,361049,398318
nGen-10_plotBudjetPerGen-200_he-0.7,89804,782296,643009,832621
nGen-10_plotBudjetPerGen-200_he-0.7,960522,702535,998007,419178
nGen-10_plotBudjetPerGen-200_he-0.7,116234,966520,674941,92729
nGen-10_plotBudjetPerGen-200_he-0.7,894716,527097,36890,167198
nGen-10_plotBudjetPerGen-200_he-0.7,381439,490324,136745,207753
nGen-10_plotBudjetPerGen-200_he-0.7,568179,870765,578657,707032
nGen-10_plotBudjetPerGen-200_he-0.7,742687,222389,227930,523143
nGen-10_plotBudjetPerGen-200_he-0.7,466670,324387,59506,547364
nGen-10_plotBudjetPerGen-200_he-0.7,384030,492194,145010,224892
nGen-10_plotBudjetPerGen-200_he-0.7,358493,339782,692660,792068
nGen-10_plotBudjetPerGen-200_he-0.7,122814,921796,744086,793479
nGen-10_plotBudjetPerGen-200_he-0.7,932431,931601,668292,176307
nGen-10_plotBudjetPerGen-200_he-0.7,785874,956086,804785,58754
nGen-10_plotBudjetPerGen-200_he-0.7,961354,991263,406805,228429
nGen-10_plotBudjetPerGen-200_he-0.7,428163,450700,497792,535165
nGen-10_plotBudjetPerGen-200_he-0.7,454671,619910,763096,278924
nGen-10_plotBudjetPerGen-200_he-0.7,562121,334794,890698,109254
nGen-10_plotBudjetPerGen-200_he-0.7,624415,962495,894552,476943
nGen-10_plotBudjetPerGen-200_he-0.7,112763,606466,64977,637958
nGen-10_plotBudjetPerGen-200_he-0.7,520638,328157,995320,431279
